,name,alt_name,ra,dec,vmag,class,bv_color,ri_code,ri_color,spect_code,ub_color,spectral_type
82,HR1073,,53.4125,54.9747,5.98,STAR A3V,0.11,,,,,A
83,HR1074,,53.1667,35.4617,5.9,STAR B1V,-0.06,,,,-0.85,B
84,HR1075,,52.4792,-42.6342,5.78,STAR A5V,0.22,,,,,A
85,HR1076,,52.5567,-41.37,6.12,STAR F7V,0.48,,,,,F
86,HR1077,,53.7533,60.0411,6.46,STAR F3V,0.39,,,,-0.07,F
87,HR1078,,53.3963,39.8994,5.81,STAR A5,0.11,,,,0.12,A
88,HR1079,6    Tau,53.15,9.3736,5.77,STAR B9IV,-0.08,,,,-0.3,B
89,HR108,,7.0879,-20.335,6.43,STAR G0V,0.59,,,,-0.03,F
90,HR1080,,54.8533,75.7397,6.27,STAR G9III,0.97,,,,0.65,G
91,HR1081,,52.6542,-47.3753,5.99,STAR A1V,0.11,,,,,A
92,HR1082,,52.9746,-25.6142,6.38,STAR A3V,0.12,,,,,A
93,HR1083,Kap Ret,52.3446,-62.9375,4.72,STAR F5IV,0.4,,0.18,,-0.04,F
94,HR1084,18Eps Eri,53.2325,-9.4583,3.73,STAR K2V,0.88,,0.47,,0.59,K
95,HR1085,,53.5346,17.8328,6.17,STAR K1IV,0.89,,,,0.54,K
96,HR1086,7    Tau,53.6108,24.4644,5.92,STAR A3V,0.13,,,,0.17,A
97,HR1087,37Psi Per,54.1225,48.1928,4.23,STAR B5V,-0.06,,-0.01,v,-0.57,B
98,HR1088,19Tau5Eri,53.4471,-21.6328,4.27,STAR B8V,-0.11,,-0.12,,-0.35,B
99,HR1089,,53.705,6.4178,6.49,STAR G0,0.63,,,,0.16,G
100,HR109,,7.11,-39.915,5.43,STAR M0III,1.56,,,,1.9,M
101,HR1090,,53.145,-50.3786,5.68,STAR K2III,1.1,,,,1.16,K
102,HR1091,,53.6558,-9.8686,6.25,STAR A2V,0.02,,,,,A
103,HR1092,,52.715,-66.4897,5.83,STAR B8V,-0.06,,,,-0.33,B
104,HR1093,,53.4867,-31.0803,6.2,STAR F5V,0.48,,,,,F
105,HR1094,,54.5821,56.9328,6.3,STAR B9,-0.13,,,v,-0.35,B
106,HR1095,,53.6396,-31.8747,6.4,STAR K3III,1.4,,,,,K
107,HR1096,,53.215,-61.0169,6.41,STAR K0III,1.04,,,,0.91,K
108,HR1097,,54.5008,42.5831,6.42,STAR B8V,-0.06,,,,-0.37,B
109,HR1098,,53.9904,-11.1936,5.57,STAR,0.91,,,,,K
110,HR1099,,54.1971,0.5878,5.71,STAR G9V,0.92,E,0.39,,0.46,K
111,HR11,,1.9338,-2.5489,6.43,STAR B8III,-0.14,,,,-0.47,A
112,HR110,,7.2358,36.9,6.26,STAR G5III,0.92,,,,,G
